UniqID,Name,TextParagraph,Prominence
922,Cricket Australia,"appeal funds have been set up to help the people of christchurch. i know australians are going to be very generous in their support. in that regard, i warmly welcomed the news today from cricket australia that tomorrow's australia and new zealand world cup match will be broadcast live by channel 9, fox sports and abc grandstand. players from both teams will be showing their respect by wearing black armbands and having a moment's silence before the match. the earthquake appeal will be promoted and there will be ways for cricket lovers to donate as they watch that match.",1
1334,National Farmers' Federation," the ceo of the national farmers' federation, simon talbot, was also part of the mission. he warned that if this thing is delayed, let alone stopped, it will cost australian agriculture $300 million alone in 2016. he also said, 'many agricultural producers and supply chains are gearing up in preparedness for the agreement being ratified. it's the centrepiece of significant agricultural expansion in australia. we have only touched the tip of the iceberg in relation to the opportunity.'",3
1626,The Alannah and Madeline Foundation," i also draw the house's attention to the recent digital licence program established by the alannah and madeline foundation, with the support of google—another large digital technology platform. this esmart digital licence program will be made available to every grade 6 student in australia this year—almost 300,000 children—thanks to a grant of $1.2 million from google. as part of this digital licence program, children who undertake it will use quizzes, videos and games to teach them how to be smart, safe and responsible digital citizens—again, targeting intervention at the children rather than from above through regulation.",4
558,Australian Petroleum Production and Exploration Association," i also acknowledge the opportunity that has been afforded to the industry to provide input to the government's response to the montara commission of inquiry. from my discussions with industry—and they have been extensive—i understand this is an issue that they are very engaged in. they share the same aspirations to make sure the industry can develop in a safe and sustainable manner while preserving and not impacting on the environment. i applaud the commitment from the industry, as outlined by the minister, by which the australian petroleum production and exploration association, appea, and its members have worked to create. appea has created a draft mutual aid memorandum of understanding relating to incident response, a self-audit tool for the management of well operations, and an oil spill preparedness and response improvement plan.",4
926,CropLife Australia, australia's gross value of farm production is worth an estimated $47.9 billion a year with an export value of farm commodities of around $38 billion. the agvet chemicals industry is vital to quality food and fibre production and makes essential tools for primary producers. the crop protection industry body croplife australia estimates in a recent report that: ,3
1702,Women With Disabilities Australia," last year, christina was the only australian woman with a disability to attend the un committee on the elimination of all forms of discrimination against women, in new york. christina represented women with disabilities australia, a group of committed, frighteningly intelligent and savvy women who have alerted me to the individual, systemic and societal discrimination suffered by many women with a disability—and some of their stories are chilling. in march this year, she was also a member of the official australian delegation to the un commission on the status of women.",1
1670,Urban Development Institute of Australia, urban development institute of australia and other urban advocates,666
287,Australian Council of Trade Unions,"as the shadow minister for regional development, i live in regional australia and have done so for more than three decades. as the shadow minister for tourism, i have had skin in the game as a tourism operator in the water sports industry. both the labor ministers i shadow—the minister for resources and energy and minister for tourism and the minister for regional australia, regional development and local government—have no such real connection with their portfolios. in fact, they share the same qualification coming into this place both having been presidents of the australian council of trade unions and living in metropolitan melbourne. the minister for resources and energy and minister for tourism discharges his duties in that order and is widely known as the minister for the mining tax. but he got his training wheels by taxing the tourism industry.",1
947,Defence Force Welfare Association," (fraser) (20:21): the indexation of military pensions and superannuation is an issue that, as the member for fraser, i am very familiar with. over at least the last year i have been working with colleagues senator kate lundy, mike kelly, the federal member for eden-monaro and gai brodtmann, the member for canberra, along with the defence force welfare association, the superannuated commonwealth officers association and the australian council of public sector retiree organisations, in making representations regarding the indexation of military superannuation pensions as well as those for commonwealth employees.",4
1062,Friends of the Earth," she is a veteran environmental activist from friends of the earth in victoria; she was on their management committee. in 2012, she was part of climate action moreland, which campaigned to shut down the hazelwood coal-fired power station in victoria's latrobe valley. in 2010, she was spokeswoman for the camp for climate action protest, which saw two protesters chain themselves by their necks to the hunter valley conveyer belt carrying coal to the bayswater power station north-west of sydney. at the time of that action, ellen roberts said:",1
1543,Settlement Council of Australia," (ii) the booklet was developed in consultation with the refugee resettlement advisory council, the settlement council of australia, the refugee council of australia and the multicultural youth advocacy network. comments and input were provided in may and june 2012.",4
316,Australian Drug Foundation," the australian drug foundation reports that new psychoactive substances are being developed around the world at an unprecedented rate. while there is little in australian data showing usage of these drugs, statistics from the united kingdom indicate that these drugs are increasingly causing harm with 52 deaths being directly attributed to new psychoactive substances in 2012—an increase from 25 in 2008 and six in 2003. alarmingly, the same data from the united kingdom found that in 2013 approximately 230,000 people aged 14 and older admitted to using synthetic cannabis. ",3
1684,Water Services Association of Australia," beyond the national irrigators' council and the national farmers' federation—two incredibly important players, i acknowledge that, in the process of water reform—every other stakeholder, as far as i can tell, is opposed to this bill. the two other significant peak bodies—the australian water association and the water services association of australia—indicated quite strongly their opposition to the abolition of the national water commission. the water services association of australia in its evidence to the senate inquiry around this bill said of the abolition that it:",3
1640,The Pharmacy Guild of Australia,"the bill sets out, as the minister has pointed out, that we think there will be an average price reduction of at least 23 per cent, to be achieved across all brands in the cycle. what that means is there will be a very large saving in the pbs and we think this will be market driven. the minister has pointed out, in a report to parliament on the 2007 pbs changes that the member for bowman talked about, that consumers will benefit. she says that somewhere around $700 million will be saved over 10 years. that is roads, schools and health care. that is community infrastructure which can be used in communities across regional and rural australia and in my electorate of blair in south-east queensland. we think that this legislation is a better deal for taxpayers and we think it is a better deal for consumers we think it is a better deal for pensioners and a better deal for non concessional card holders. we think it will mean that the market will play a role in reducing the cost of medicines for people. we also think that the pharmaceutical industry will play a role, as will the pharmacy guild of australia, in achieving better outcomes for taxpayers and consumers.",4
245,Australian Christian Lobby," i have to reserve some of my criticism for the government. in this country we have, for example, joe de bruyn, a unionist and an influential member of the labor party, who spoke recently at the australian christian lobby conference, a few weeks before the labor conference. he said: we recently had a contribution to this debate by jim wallace from the australian christian lobby and archbishop jensen, who said recently that being gay is more dangerous than smoking. in one sense he is right, because discrimination is dangerous, because prejudice is dangerous. by his logic, being aboriginal is more dangerous than smoking. the health impacts that are associated with people's sexuality are a consequence of discrimination and stigma. they have nothing at all to do with the choices that people make. we know, for example, that if you are same-sex attracted you are more likely to smoke, more likely to have had a chronic condition, much more likely to have experienced high levels of psychological distress, more likely to have had suicidal thoughts and plans, and more likely to have attempted suicide. those statistics, as shocking as they are, have nothing to do with being gay and everything to do with the social prejudice, discrimination and violence that is perpetrated against lesbians, gay men and bisexual people.",1
1008,Family Business Australia," the agencies represented on the inter-departmental committee should periodically consult with key stakeholder groups to seek their input and feedback on the issues it is discussing. these groups should include family business australia, the australian chamber of commerce and industry, the council of small business of australia and the national farmers the committee recommends that the australian securities and investments commission consult with family businesses to gauge their understanding of the corporations act 2001, in particular directors' duties and liabilities, and work with family business australia and other interested organisations that represent family businesses to disseminate information through education and training. information could also be usefully provided in plain terms on the moneysmart website. the australian securities and investments commission (asic) is committed to engaging with family business australia to identify the most appropriate means of tailoring communication and engagement with family business australia's members. family business australia is currently a member of asic's business advisory committee. this forum provides a mechanism for the organisation to provide direct feedback to asic in respect of registration and corporate register functions.",4
817,Catholic Social Services," there are approximately 600,000 charitable entities in the not-for-profit sector, and all members of this parliament would agree that these play an integral role in our communities. as i have already said, they provide vital services and fill service gaps on a daily basis. i would like to mention just a few such organisations that operate across the nation and in my community: anglicare, the australian conservation foundation, catholic social services australia, unitingcare, the red cross, mission australia, the salvation army, surf life saving australia, the rspca, world vision and relay for life. locally, we have nova employment at richmond and springwood, blue mountains cancer help, hawkesbury community kitchen, the blue mountains world heritage institute, slow food blue mountains, salvation army clothing stores and one adtc. these are only a few of the organisations that deliver face-to-face, grassroots assistance to our local communities.",4
1544,Sexual Health and Family Planning Australia," for over 30 years, sexual health and family planning australia, sh & fpa, have been meeting the needs of australians by providing advocacy, education and training around the issues of sexual health, family planning and cancer prevention through pap smears, vaccinations and information on contraception. in my own state—and yours, mr president—family planning queensland, a member organisation of sexual health and family planning australia, is working to bring sexual education and family planning services to all queenslanders regardless of their geographical location, age, ability level, social disadvantage or ethnic group. in fact, their work concentrates on people who often have other forms of disadvantage. they have a range of programs particularly looking at people who have need in the migrant communities and aboriginal and islander communities across the state. some of their work on bringing people into the wider community has been acknowledged, and they have won awards for their efforts. recognising the contribution and benefits that this technology could bring to the sexual and reproductive health field, a partnership between sexual health and family planning australia and flinders university was established. the flinders filters researchers working in this specialist area of search filter development have worked with sexual health and family planning australia to produce a pilot of three search filters on one key issue in sexual and reproductive health, and that is the area of contraception. the three specific search filters look at a general, all-inclusive contraception; long-acting, reversible contraception, commonly referred to as larc; and emergency contraception. they have been generously made available for use by the community on the flinders university website. they provide an example of how the evidence could be captured to inform practice, policy and planning in this field. it is important that we acknowledge the work that has been done by sexual health and family planning australia and flinders university in working on this initiative. one of the core issues, of course, is the ongoing future and the effect of funding in this area. we know that across many of our state governments reductions in funding have occurred for sexual and reproductive health areas. that will have an impact on the services that can be provided to the people who need it most.",4
910,Cotton Australia," but let us put that 16 gigalitres in perspective. cotton australia have said on their website that 16 gigalitres of water is about what is required to irrigate about 3,000 hectares of cotton per year. so let us run through those figures: 880 gigalitres a year was the recharge, last year—in a very good year with heavy rainfalls. and it does not immediately becomes available; it might be a thousand years before that water actually becomes available, because it just re-pressurises these great formations. the estimated total use, other than for the mining sector, was 650 gigalitres a year. and the coal seam methane gas industry extracted 16 gigalitres. that is the equivalent, according to cotton australia, of the amount of water that is used to irrigate some 3,000 hectares of cotton.",3
1455,Private Healthcare Australia," i remind the senate that organisations like private healthcare australia have consistently warned that labor's legislative changes to the private health insurance rebate will increase premiums for all australians and force people onto the public hospital lists. changes to the private health insurance rebate will hurt those australians who need it most. i will reiterate the figures: 3.4 million people with private health insurance live in households with incomes less than $35,000 per annum and 5.6 million people with private health insurance cover reside in households that have a gross annual income of below $50,000. for the 12.5 million australians with private health insurance, this will no doubt have a major impact.",3
1334,National Farmers' Federation," why create an extra oversight body when you can look at the empirical data flowing out of the last six years? labor was in power. we changed the work choices legislation. what happened? did disputes increase? there was no mention, by the member for sturt, of the fact that dispute days went down. what about productivity? did productivity go down in the last six years in the building industry? surely, with labor in control, and bringing in this legislation, productivity went down. no, it increased. i am loath to make this connection but let us look at fatalities, the most horrible piece of empirical data in workplace relations. did fatalities increase or decrease? they decreased under our legislation. so why bring in extra red tape and extra costs? it can only be because of a political agenda. this is 'union busting 101'—create red tape for unions. i do recognise that it also creates red tape for employer organisations, but they are a little bit more muzzled in terms of speaking up. those opposite think the national farmers federation is like a union; it is not. there are a range of unions out there and a range of employer organisations.",1
1407,Ovarian Cancer Australia," the symptoms are seemingly innocuous, so the ovarian cancer campaign is all about k.i.s.s. with ovarian cancer, that certainly does not stand for 'keep it simple stupid'; it stands for 'know the important symptoms and signs'. these include abdominal or pelvic pain, increased abdominal size or persistent abdominal bloating, needing to urinate often or urgently and difficulty eating or feeling full quickly. many of these symptoms are experienced by many of us from time to time, but ovarian cancer australia have produced a symptoms diary in which they encourage women to write down their symptoms if they are concerned that they are experiencing many of these symptoms on a regular basis and then to take the diary to their medical practitioner.",4
815,Catholic Health Australia, catholic health australia said:,3
1324,National Council of Women of Australia," (canberra) (11:31): there is a deep disillusionment among many parts of the australian community at the moment that currently wishes a pox on all our houses. recently, i attended the triennial conference of the national council of women of australia and was presented with a petition calling for:",3
23,Aftercare,"(10989) treatment of a person's wound (other than normal aftercare) provided by a registered aboriginal health worker if: (a) the treatment is provided on behalf of, and under the supervision of, a medical practitioner; and (b) the person is not an admitted patient of a hospital. this item has been in use from 2006.05.01 to the present. (10996) treatment of a person's wound (other than normal aftercare) provided by a practice nurse if: (a) the treatment is provided on behalf of, and under the supervision of, a medical practitioner: and (b) the person is not an admitted patient of a hospital. this item has been in use from 2004.02.01 to the present.",666
1437,Police Federation of Australia,"i strongly believe it is necessary for measures to be included in this bill to ensure that part of the spectrum will be made available to police and emergency services in times of emergency. the peak bodies of australia's police, firefighting, ambulance and other emergency services have requested 20 megahertz of the spectrum to be reserved for these disaster situations. the use of this spectrum represents some amazing opportunities for frontline emergency services and could revolutionise the way these services operate. mr deputy speaker, i bring to your attention a fact sheet that was sent to all mps and senators by the police federation of australia. in this fact sheet they have raised a number of concerns and made comments in relation to reserving part of this spectrum for emergency services personnel. this updates our february alert that the police and emergency services need the spectrum in the 700-megahertz band for digital dividend for public safety. i will read some quotes from the fact sheet: the police federation of australia are surely an agency that we should all be listening to. this is an issue of national significance, and i hope the minister is listening. we can only assume that the sale of the digital dividend is being used for promotional purposes, probably to try to return the budget to surplus in 2012-13.",3
24,Aged and Community Services Australia," professor john kelly, the chief executive of aged and community services australia, has said that the withdrawal of this funding, ignored the problems faced by staff and patients. he said:",3
473,Australian Livestock and Rural Transporters' Association," yes, $400,000-plus. the sheer arrogance of the tribunal—i spoke to senator sterle at the back of the chamber and i said: 'this order that comes in on 4 april must be delayed. people don't understand it; they don't know the ramifications; people are going to go broke; people are going to lose their jobs. they will probably lose their houses because their houses are mortgaged to buy their rigs.' we put an application in, thanks to senator cash, aig, natroad, the australian livestock and rural transporters association et cetera, to have this delayed.",4
1542,Service to Youth Council," (adelaide) (13:54): i rise to draw to the attention of the house a wonderful program that is delivered to young people across adelaide through the service to youth council—that is, the youth connections program. this is a program that is delivered across australia. it is aimed towards young people who have become disengaged from schooling and are at risk of falling through the cracks and slipping into youth unemployment. this is a program that, up to the end of last year, helped almost 75,000 young people across australia get a hand up, and the estimates are that by the end of this year that number will reach 100,000.",4
1222,Lebanese Muslim Association," another area of the budget where savings measures could be applied to instead of taking entitlements away from our sick, elderly and young is the liberal and national parties' infrastructure budget. according to treasury briefings, over the next two years, 2015-16 and 2016-17, this government plans to spend approximately $7 billion on top of the just over $6 billion that is spent annually on infrastructure the majority of this money will be spent on mainland capital cities roads—especially in sydney and melbourne. this government has made plans to spend billions of extra dollars on infrastructure in sydney and melbourne in the lead up to the next federal general election. the infrastructure budget graphs supplied by treasury do not lie. they show that while mr abbott and mr hockey are telling tasmanians to tighten their belts the residents of western sydney and melbourne are enjoying a huge boost to the amount of federal funds which are being showered on them. if regional australia and ordinary tasmanians are to tighten their belts then why can't the belt tightening be carried out by the people of sydney and melbourne as well? for example, why has the liberal government promised to provide $20 million over three years to the lebanese muslim association and other arabic-speaking people to build residential aged-care services that will provide 'culturally appropriate aged care in western sydney' when the budget shows that over the forward estimates savings of $12.7 million and $38.8 million respectively, $51.76 million in total, will be achieved by targeting our very own veterans who receive incapacity payments and disability pensions? i have never worked out how any government can describe as budget savings taking money and entitlements away from those citizens—our defence force veterans—who were prepared to lay their lives on the line.",4
811,Carers Alliance," one of the great things we have heard the government taking credit for is the delivery of the national disability insurance scheme. i think it is worth noting what the carers alliance have said about the national disability insurance scheme announced in the budget. if anyone knows about the difficulty of caring and what we need under a national disability insurance scheme, the carers alliance are first and foremost. i quote from their press release: they are the words of the carers alliance. then we look at issues where this government has actually cut spending. we see that our defence budget has been reduced in real terms this year by 10.5 per cent. that is the largest year-on-year reduction since the end of the korean war. as a result, our national defence spending as a percentage of gdp will now fall to 1.56 per cent, the lowest we have had since 1938. the only thing we had missing in this announcement was the prime minister standing up and declaring 'peace in our time'. as babbage smith, the government adviser and author of the 2009 defence white paper, said about these cuts, 'we're going to be in real trouble for at least 20 years. we won't have the ability to defend ourselves.'",3
881,Community Housing Federation of Australia," thirdly, the committee consistently heard that we need a national affordable housing plan. we heard this from right across the sector: from academics and researchers; from housing peak bodies like national shelter, the community housing federation of australia and homelessness australia; from acoss; and from local governments, but also from the development sector—from the udia and mba, to name just two. the city futures research centre's submission detailed the attributes of a good national plan, and i commend their submission to the senate; we quoted from it extensively in the report. the report also says: in december last year, the government terminated the housing and homelessness program in the department of social services from june 2015. this resulted in the withdrawal of funding to national shelter, to the community housing federation of australia and to homelessness australia, and a change to the funding arrangements for the australian housing and urban research institute, ahuri. i want to record my concern about the evidence from the department that was vague about the reasons that decision was taken. one can only come to the conclusion that the decision taken was a political one.",4
102,Asthma Australia, (2) congratulates asthma australia for its work promoting national asthma week and raising community awareness of asthma.,4
1665,United Voice," (victoria—parliamentary secretary for school education and workplace relations) (18:36): perhaps i should start by going back to some of the earlier comments by senator nash and come to that final question in a moment. childcare funding is not a cash cow. i am astounded that she would even use an expression such as that when we are dealing with affordability and cost-of-living pressures being faced by families. what this measure seeks to do, as has been covered on many other occasions, is reconfigure existing funding to help ensure that the quality of child care available to families is improved. certainly this measure does involve saving measures. this measure was government policy at the last election and the minister spoke at several community childcare forums during the election period with parents and childcare workers about the changes. this proposed measure was contained in the 2010-11 budget papers. the minister meets regularly with representatives of the childcare sector including the childcare alliance, the australian early childhood association, family day care australia and united voice. all of the sector has been committed to the national quality framework. indeed, these measures have been discussed and consulted on during countless forums relevant to the national quality framework.",4
876,Community and Public Sector Union,"it is this sense of obligation and purpose that has governed the decisions i have made in pursuing the work that i have done. if i am known by others in this place it would be through my role as the national secretary of the community and public sector union, an organisation i worked for for over 16 years and of which i am a proud life member. i have had the great privilege of being a delegate, an organiser, a lawyer and an official of the community and public sector union. in that time i undertook many hard-fought campaigns against some formidable and well-resourced opponents, many of them who sit in this place. i cannot speak more highly of the men and women who are members of the cpsu. they work in government departments and agencies, in the telecommunications and broadcasting industries. they are as committed to the performance of the public services they deliver as they are to their union. they have stuck by their union when it was not only unfashionable to do so but when in many cases it was a job-jeopardising move. to the hundreds of cpsu men and women who lost their jobs over the last decade for little other reason than that they were a union representative, i honour your commitment, and i will do my bit here to ensure that this country never again recedes into the industrial bigotry which made that possible. i am grateful for the great support from my union—the community and public sector union. i have seen many members and officials and former officials in the audience. i am so proud to be here today to talk of your cause and your issues, and i will represent your interests to the best of my ability where i can in this place. to the cfmeu miners division, bobby timbs and spotty white, who took time from dealing with their own problems to assist me in my campaign, and to the mua's gary 'hollywood' keane, the awu's andy gillespie and wayne phillips: thank you very much, as well as to all of the other unions on the south coast who assisted me. on the south coast it is sometimes hard to separate people who wear a union hat from those who wear another hat, but i thank narelle clay, richard 'makie' davis, colin and melissa markham and many, many others.",1
1647,Timber Communities Australia," (i) at a recent public rally in hobart, tasmanian members of the timber communities australia publicly displayed signs calling for the recognition of their cultural heritage,",3
1510,Royal Australian College of General Practitioners," the royal australian college of general practitioners warn that the provisions of this bill 'hold long-term threats to harm the current high standard of medical services, and consequently health services, delivered to the community'—very worrying—and that these provisions could drive health management to be focused on performance and cost cutting more than patient care. they had concerns about virtually every aspect of the bill. they warned of significant overlap between this new bureaucracy and the existing australian commission on safety and quality in health care. so, not only are we getting extra bureaucracy, we are once again getting extra regulation. real reform would cut the number of bureaucrats needed to administer the system. real reform would cut the regulatory burden on our hospitals, both public and private. we do not see that with this bill.",3
1254,Medecins Sans Frontieres," today the united kingdom is hosting a pledging conference to get countries and international donors to pledge beds, medical staff and money to help tackle ebola in sierra leone. as late as yesterday, australia were not able to confirm whether we would be represented and what we would be pledging, so i am very pleased to hear about the extra $10 million today. as many health experts have said, the spread of ebola is preventable, and health workers can be very well protected with the right infection control techniques. our infection control techniques are indeed second to none. medecins sans frontieres say our capability is unique. if we fail to act now, the consequences will only grow in seriousness. the executive director of medecins sans frontieres in australia, paul mcphun, says he wonders why the foreign minister will not, at the very least, pledge to send australian volunteers to the region as soon as medivac agreements are reached with partner countries. msf is the largest ngo working in west africa. mr mcphun said:",3
1662,United Firefighters Union of Australia," (kennedy) (11:02): i want to pay tribute to the united firefighters union of australia. unionism is something that seems to be maligned almost continuously in the media throughout australia, and i am sure that the corporate owners of the media think it is a good idea to have no unions so they do not have to pay anyone very much money. in this case, i was a very reluctant starter. staff had to sit me down and bang me on the head with the statistics. the firefighters union put forward a very professionally prepared brief and they had unassailable statistics. clearly the incidence of cancer in firefighters was way out of proportion with that of the rest of the population. we know, of course, that certain chemicals are carcinogenic and breathing them can lead to cancer—as i have said many times in this house in relation to exhaust fumes from motorcars.",3
1225,Lesbians," the debate on same-sex marriage has been a complex and controversial one. it is complex because, i would hope, as a community we want to continue to encourage the acceptance and contribution of gay and lesbian australians in our community. it is complex because we want to end the trauma and isolation that is all too often felt by gays and lesbians as they negotiate the heart-wrenching pathway towards authenticity and acceptance of their sexuality, a process of sexual identity and acceptance that can be as painful and traumatic for the families of gay and lesbian australians as it can be for the people themselves. the matter is also controversial. it is controversial because some in the debate, most notably the australian greens, want to suggest they know best the minds of the australian electorate, better than anyone else in this place, perhaps even better than the members of the electorate themselves. it has been controversial also because many have confused the religious institution of marriage with marriage as a civil institution. it is marriage as a civil institution that should demand the primary concentration and deliberations of parliamentarians. i believe any future deliberation by the parliament on matters regarding the legal treatment of same-sex couples should make as its focus the task of creating a starker distinction between marriage as a civil institution and its role for some as a religious institution. i want to acknowledge those who come to this debate in a similar context to me, but who have arrived at a different conclusion. i have listened to their contribution, admired the strength of their convictions and i applaud their courage. by not agreeing to same-sex marriage, i am not choosing to endorse discrimination against my fellow gay and lesbians australians or to be disrespectful to their domestic relationships, or to lessen the value of their commitments, companionship, love and unions. instead, for me, it is an honest acknowledgement, of the special and unique characteristics of the union described as 'marriage'.",666
735,AUSVEG," (victoria) (14:39): my question is to the minister representing the minister for climate change and energy efficiency, senator wong. i refer the minister to the fact that the carbon tax has caused an almost threefold increase in the cost of refrigerant gases for farmers, small businesses and australian households. ausveg, who represent australian fruit and vegetable growers, have said that the cost of the most common refrigerant, r134a, will increase from $65.72 per kilo to $181.82 per kilo. the r404a refrigerant used by vegetable growers will increase from $92.80 per kilo to $377.71 per kilo. given that australian farmers are already facing difficult circumstances—rising costs, the high australian dollar and skill shortages—why is the australian government insistent on making a bad situation worse and forcing up the cost of producing australia's fruit and vegetables by imposing the world's biggest carbon tax?",3
777,BoysTown, bowman electorate: boystown,666
